SYSTEM," ""1"""," ""SYSTEM"""," ""System Start"""," """"",,,
main," ""146"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," target=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1""",,
main," ""147"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""148"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1"," updateStrategy=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,
main," ""149"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""150"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.standard.StandardDrawingView:1"," fUpdateStrategy=CH.ifa.draw.standard.BufferedUpdateStrategy:1""",,
main," ""151"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""152"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.StandardDrawingView:1#setDisplayUpdate:1"," value=<void>""",,
main," ""153"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""154"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""155"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""156"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""157"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""158"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""159"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.standard.StandardDrawingView:1#CH.ifa.draw.standard.StandardDrawingView:1"," value=<void>""",,
main," ""160"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""161"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""162"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," result=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""163"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createDrawingView:1"," value=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""164"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""165"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""166"""," ""SYSTEM"""," ""Field Write"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fView=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""167"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""168"""," ""SYSTEM"""," ""Field Read"""," ""context=CH.ifa.draw.application.DrawApplication:1"," fView""",,
main," ""169"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createContents:1""",,
main," ""170"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""171"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," view=CH.ifa.draw.standard.StandardDrawingView:1""",,
main," ""172"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""173"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," sp=java.awt.ScrollPane (id=161)""",,
main," ""174"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""175"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," vadjust=java.awt.ScrollPaneAdjustable (id=163)""",,
main," ""176"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""177"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," hadjust=java.awt.ScrollPaneAdjustable (id=165)""",,
main," ""178"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""179"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""180"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""181"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""182"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createContents:1"," result=java.awt.ScrollPane (id=161)""",,
main," ""183"""," ""SYSTEM"""," ""Method Exit"""," ""returner=CH.ifa.draw.application.DrawApplication:1#createContents:1"," value=java.awt.ScrollPane (id=161)""",,
main," ""184"""," ""SYSTEM"""," ""Method Returned"""," """"",,,
main," ""185"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""186"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#open:1"," contents=java.awt.ScrollPane (id=161)""",,
main," ""187"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""188"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""189"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#open:1"," target=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1""",,
main," ""190"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""191"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""192"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," palette=java.awt.Panel (id=166)""",,
main," ""193"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""194"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
main," ""195"""," ""SYSTEM"""," ""Type Load"""," ""class=CH.ifa.draw.util.PaletteLayout""",,,
main," ""196"""," ""SYSTEM"""," ""New Object"""," ""object=CH.ifa.draw.util.PaletteLayout:1""",,,
main," ""197"""," ""SYSTEM"""," ""Method Call"""," ""caller=CH.ifa.draw.application.DrawApplication:1#createToolPalette:1"," target=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1""",,
main," ""198"""," ""SYSTEM"""," ""Method Entered"""," """"",,,
main," ""199"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," border=java.awt.Point (id=170)""",,
main," ""200"""," ""SYSTEM"""," ""Variable Write"""," ""context=CH.ifa.draw.util.PaletteLayout:1#CH.ifa.draw.util.PaletteLayout:1"," gap=2""",,
main," ""201"""," ""SYSTEM"""," ""Line Step"""," ""<source unavailable>""",,,
